id,naziv,opis,cena,kategorija_id
1,Polnozrnati špageti,Polnozrnata moka in voda,2.99,1
2,Klasični špageti,Tradicionalna moka iz trde pšenice,2.59,1
3,Široki rezanci,Pšenična moka in jajca,3.10,1
4,Polnozrnati rezanci,Več vlaknin in mineralov,3.20,1
5,Testenine z jajci,Sveža jajca in moka,2.89,1
6,Brezjajčne testenine,Pšenična moka in voda,2.49,1
7,Polnozrnate fusilli,Spiralna polnozrnata oblika,3.49,1
8,Tricolor fusilli,Barvani z naravnimi barvili,3.69,1
9,Ječmenovi makaroni,Ječmenova moka za vlaknine,3.90,1
10,Testenine iz pire,Bogat vir beljakovin in mineralov,4.10,1
11,Protein testenine,Obogatene z beljakovinami,4.50,1
12,Polnozrnati makaroni,Kratek votel format,2.80,1
13,Testenine iz kamuta,Oreškast okus starodavne žitarice,4.20,1
14,Brezglutenski špageti,Iz koruze in riža primerni za celiakaše,3.99,1
15,Brezglutenske penne,Iz koruze in riža,4.29,1
16,Jajčni linguine,Ploščati rezanci s svežimi jajci,3.59,1
17,Testenine z bučnimi semeni,Bučna moka bogata z minerali,4.05,1
18,Ajdovi rezanci,Ajdova moka za unikaten okus,3.90,1
19,Polnozrnati tagliatelle,Dolgi ravni trakovi polnozrnat,3.79,1
20,Barvni farfalle,Metuljčki barvani s špinačo in paradižnikom,3.19,1
21,Široki pirini rezanci,Iz polnozrnate pire bogatejši okus,3.45,1
22,Grahove testenine,Visok delež rastlinskih beljakovin,4.49,1
23,Lečine testenine,Več beljakovin iz rdeče leče,4.39,1
24,Testenine s čilijem,Rahlo pikantne iz pšenične moke,3.30,1
25,Testenine s kurkumo,Zlato obarvane s kurkumo,3.70,1
26,Kamutovi špageti,Daljši format iz kamuta,3.99,1
27,Kamutovi fusilli,Spirale iz starodavne žitarice,4.10,1
28,Pirina orzo,Podobno rižu iz pire,3.00,1
29,Polnozrnati rigatoni,Debele votle cevi za goste omake,3.10,1
30,Rižini rezanci,Tanki primerni za azijske jedi,2.99,1
31,Testenine z gobami,Gobji prah za aromatičen okus,4.59,1
32,Čokoladne testenine,Sladek kakavov pridih,5.10,1
33,Korenčkove testenine,Oranžen odtenek z betakarotenom,3.20,1
34,Rdeča pesa testenine,Živahna barva in posebna aroma,3.60,1
35,Čemaževi rezanci,Aromatičen okus suhega čemaža,4.00,1
36,Testenine s špinačo,Zelena barva z okusom špinače,3.50,1
37,Krompirjevi njoki,Tradicionalni krompirjevi cmoki,3.19,1
38,Sladki krompirjevi njoki,Oranžen ton in sladek okus,3.69,1
39,Rezanci s kostanjevo moko,Blago sladek oreškast pridih,4.20,1
40,Testenine z lanenimi semeni,Več vlaknin iz lanenih semen,3.49,1
